시간,버튼,X,Y,Z,압력_NORMAL
255006830,0,6985,8775,620,0
255006841,0,6996,8781,701,0
255006850,1,7002,8787,599,308
255006858,0,7010,8788,684,0
255006866,0,7015,8795,661,0
255006877,1,7018,8801,655,311
255006887,0,7009,8803,681,0
255006896,1,7004,8794,576,223
255006904,0,6993,8798,668,0
255006915,1,7001,8794,606,512
255006926,0,6996,8788,655,0
255006937,1,6986,8794,599,541
255006947,0,6979,8800,693,0
255006955,1,6971,8803,678,405
255006964,0,6962,8797,568,0
255006975,0,6957,8801,568,0
255006984,1,6954,8798,561,231
255006991,0,6951,8807,569,0
255007001,0,6953,8815,653,0
255007008,0,6959,8806,633,0
255007015,1,6948,8801,648,470
255007024,0,6950,8811,674,0
255007035,0,6954,8800,625,0
255007046,1,6961,8807,555,444
255007053,0,6960,8810,661,0
255007060,1,6962,8801,648,231
255007070,1,6968,8799,630,571
255007078,0,6957,8809,684,0
255007087,0,6950,8797,635,0
255007098,0,6953,8790,565,0
255007107,0,6956,8788,641,0
255007117,0,6955,8798,554,0
255007126,0,6950,8792,671,0
255007135,0,6960,8798,624,0
255007145,1,6959,8806,685,530
255007154,1,6952,8794,609,204
255007164,1,6961,8805,585,258
255007172,1,6967,8814,675,396
255007180,1,6961,8805,693,488
255007190,0,6963,8815,566,0
255007199,0,6974,8822,581,0
255007207,0,6970,8817,614,0
255007218,0,6959,8810,610,0
255007229,0,6955,8802,634,0
255007237,0,6959,8806,623,0
255007246,0,6948,8796,554,0
255007256,0,6941,8805,591,0
255007265,1,6934,8812,700,240
255007275,1,6924,8814,605,521
255007283,0,6917,8816,579,0
255007291,1,6920,8809,652,432
255007300,0,6911,8797,635,0
255007308,1,6919,8799,702,514
255007317,0,6930,8808,652,0
255007325,1,6930,8796,597,568
255007335,0,6926,8787,635,0
255007342,1,6922,8787,658,245
255007349,1,6931,8792,637,443
255007356,1,6933,8783,675,292
255007363,1,6939,8794,569,547
255007372,0,6936,8799,591,0
255007379,0,6938,8806,599,0
255007386,1,6930,8804,592,489
255007395,1,6920,8792,568,530
255007403,1,6930,8789,590,537
255007412,1,6930,8800,683,373
255007420,0,6940,8811,643,0
255007429,0,6944,8807,686,0
255007438,0,6948,8795,589,0
