시간,X,Y,압력_NORMAL,버튼
1765925272704,57.23828125,87.44921875,0.5,1
1765925272820,57.23828125,87.5546875,0.5,1
1765925272845,57.23828125,90.3984375,0.5,1
1765925272861,57.23828125,99.50390625,0.5,1
1765925272878,57.23828125,111.0390625,0.5,1
1765925272895,57.23828125,122.54296875,0.5,1
1765925272912,57.23828125,134.66015625,0.5,1
1765925272928,58.57421875,144.6171875,0.5,1
1765925272943,61.87109375,151.984375,0.5,1
1765925272961,66.1953125,157.75390625,0.5,1
1765925272978,70.1328125,161.5703125,0.5,1
1765925272994,73.57421875,164.30078125,0.5,1
1765925273011,77.29296875,166.6875,0.5,1
1765925273028,81.4375,167.875,0.5,1
1765925273045,87.90234375,168.4140625,0.5,1
1765925273061,96.1484375,168.62890625,0.5,1
1765925273078,103.2109375,168.15625,0.5,1
1765925273094,110.18359375,167.05078125,0.5,1
1765925273112,116.9296875,166.11328125,0.5,1
1765925273128,120.58984375,165.83984375,0.5,1
1765925273145,121.66015625,165.9453125,0.5,1
1765925273162,117.4609375,169.08984375,0.5,1
1765925273178,102.23046875,176.96484375,0.5,1
1765925273195,74.4765625,186.69921875,0.5,1
1765925273211,43.3203125,194,0.5,1
1765925273228,19.8203125,197.19921875,0.5,1
1765925273245,2.6171875,198.04296875,0.5,1
1765925273262,-7.05859375,196.2109375,0.5,1
1765925273278,-7.46875,188.23046875,0.5,1
1765925273295,10.19140625,168.26953125,0.5,1
1765925273311,54.03125,138.515625,0.5,1
1765925273328,106.1171875,115.140625,0.5,1
1765925273345,147.58984375,105.47265625,0.5,1
1765925273361,179.90234375,102.9609375,0.5,1
1765925273378,202.5703125,104.33984375,0.5,1
1765925273394,213.71875,112.83203125,0.5,1
1765925273411,219.01953125,129.55859375,0.5,1
1765925273428,220.39453125,149.3203125,0.5,1
1765925273445,219.8046875,174.42578125,0.5,1
1765925273461,216.1953125,198.12109375,0.5,1
1765925273478,210.75,211.25390625,0.5,1
1765925273495,206.20703125,219.19140625,0.5,1
1765925273511,201.9453125,223.44921875,0.5,1
1765925273528,198.33203125,221.87109375,0.5,1
1765925273545,196.72265625,212.0859375,0.5,1
1765925273561,199.3515625,197.4375,0.5,1
1765925273578,208.20703125,183.4296875,0.5,1
1765925273594,221.8359375,172.9765625,0.5,1
1765925273611,233.59375,168.73046875,0.5,1
1765925273628,241.21484375,174.640625,0.5,1
1765925273645,244.734375,192.45703125,0.5,1
1765925273662,241.921875,213.5546875,0.5,1
1765925273678,233.76953125,232.76171875,0.5,1
1765925273695,225.51171875,245.71875,0.5,1
1765925273711,218.82421875,250.99609375,0.5,1
1765925273727,214.6171875,247.578125,0.5,1
1765925273745,219.671875,221.6015625,0.5,1
1765925273761,239.5625,181.01171875,0.5,1
1765925273778,269.5078125,147.9375,0.5,1
1765925273794,298.44140625,128.1875,0.5,1
1765925273811,320.94921875,120.8828125,0.5,1
1765925273827,332.5859375,127.01953125,0.5,1
1765925273845,335.03515625,149.1015625,0.5,1
1765925273862,332.8203125,178.1875,0.5,1
1765925273878,329.01171875,196.32421875,0.5,1
1765925273895,325.30078125,206.88671875,0.5,1
1765925273911,322.46875,214.69921875,0.5,1
1765925273928,324.57421875,211.640625,0.5,1
1765925273945,340.98828125,189.55859375,0.5,1
1765925273961,372.71875,158.40234375,0.5,1
1765925273977,407.94140625,137.34375,0.5,1
1765925273995,436.1171875,129.609375,0.5,1
1765925274010,456.328125,134.37109375,0.5,1
1765925274028,468.44140625,150.87109375,0.5,1
1765925274044,471.7890625,176.00390625,0.5,1
1765925274061,469.39453125,198.43359375,0.5,1
1765925274078,463.484375,212.2890625,0.5,1
1765925274094,457.703125,221.34375,0.5,1
1765925274111,454.05078125,226.2421875,0.5,1
1765925274128,452.453125,227.66796875,0.5,1
1765925274144,451.5625,227.95703125,0.5,1
1765925274160,450.4609375,228.00390625,0.5,1
1765925274170,448.3515625,228.625,,1
1765925274171,448.3515625,228.625,,
